10,Drew Gibson
9,Jon Wood
3,SWeko
1,Lucas Willett
10,Dmitry44
15,Frothy
16,Halley
1,Kalyan Raju
1,Stefanos Kalantzis
0,flappit
5,mastupristi
1,TylerJames
1,Jeff of Brooklyn
3,solenskiner
0,Unless
9,Zsolt Szikora
10,Reydon Ace
4,Bear of the Year
2,Anthrax00
0,Mas Ugn
118,MagicBox
6,Christian Ullenboom
60,BikeCurious
1,Victor Konshin
1,lee O.
10,yakunins
0,fgantt
3,Nan T
3,Metz
10,Dan Novak
10,whacko__Cracko
1,Carlosfocker
10,Cirday
3,Leimi
3,Pillis
2,Carles Company
14,Laxman
25,n0s
1,anticafe
95,John Dagg
-2,Mohammad Makahleh
4,brodie
0,Spacehamster
1,user40504
45,Zhami
4,yoitsfrancis
3,Anwar Chandra
1,prairiehat
0,mjbjr77
3,Tonderum Conundrum
2,aeruL
0,fie
1,Andreas G.
6,Tony Clark
68,livefree75
2,Carlo Alberto Degli Atti
0,Brite Roy
1,user477161
2,cjlittle
14,Kahu
7,kingzing1
0,JohnnyLongPants
1,Mr.Expert
4,Tomas Babic
17,dRef90
6,D__
1,Paul Brauner
4,user266982
2,Randy6T9
0,Six fourty
1,Spux
3,sbook
2,Dave O.
1,Carter Cole
3,snk
2,writes_on
23,bizzz
11,Gyom
3,Obfuskater
1,dmossakowski
7,Robert Audi
1,tgrk
7,marcio
5,user41767
2,chrisghardwick
10,Kredns
2,John Ewing
4,kinghajj
6,n00b
1,Doug Houck
2,jrdn
0,eliezer
2,Peter Lapisu
1,Jeff Vig
0,Kvad
0,shanmuga
1,jiai
0,user442692
1,GSchv
2,Stellios
2,user382523
1,Xeon43
7,digz6666
1,Denis Souza
4,Daniel Upton
1,themban
2,barrozz
2,Blanc
2,chris12892
4,sm2
2,Burkhard Exner
2,Pimp-o-matic
0,ignatalexeyenko
1,dfddf
0,hudsonmendes
0,username2
1,caltrop
10,Gaith
1,Shai Wininger
0,Irina C
0,muenalan
2,ungood
7,Jonhnny Weslley
3,Gary Mueller
3,Berserk
4,toddoon
1,Ken Henderson
3,seejay
7,Johan Kullbom
1,JLarky
0,Kevin Jaques
0,liven
1,Lifeguard
0,Gabe Rosser
0,user551728
1,Hakeem
6,Mickaël Rémond
1,Mahya
0,Brandon Emrich
7,romrom
4,Russell Jones
1,user448773
4,bigjeff
1,Danny Cantrell
9,Dan Fare
-6,Chris Shelley
2,Ceejay
3,Jonathan Tizard
1,pythonologist
1,Samir Sabri
6,Ian Fiske
0,ted776
2,jjmartres
4,mikehatfield
17,y_nk
1,Gotjosh
1,Mark Norgate
35,onecreativenerd
0,Andreas H
2,a.tamaz
31,Chris Stucchio
3,ashgromnies
1,tibin mathew
2,steadfastbuck
3,Erich Musick
4,Hons
0,Mesfin
2,Mark Knudson
8,kixx
11,Charles Faiga
8,Mikle
93,Dorky Engineer
1,Kelvin Meeks
5,Rashlien
5,iscavengers
3,H. Jensen
1,ricick
2,Kyle Banerjee
1,tetaslap
1,AlastairG
5,layne obserdia
1,David He
1,ConfusedWithJava
0,kaotix
16,Srinivas Banda
1,sollek
5,NewlessClubie
2,Claude Vedovini
-4,Tyler Wright
0,user372880
0,GGL
0,testalways
6,bmaupin
-2,stao
0,Zbigniew Kawalec
2,roneden
2,ThaKidd KG5ORD
0,Anish Dutta
0,Trent Acid
5,bobah
